Pronoun	Trigger Words or Phrase	Suggestion 
None	Master Bedroom	Primary Bedroom
None	Blacklist	Blocklist
None	Whitelist	Allowlist
None	Paddy wagon	Police vehicle
He	Bugger	Fellow or Chap
None	Bugger up	Mess up
He	Hooligan	Troublemaker
She	Emotional	Passionate
They	Emotive	Passionate
She	Aggressive	Assertive
She	Bossy	Boss
She	Pushy	Persuasive
She	Feisty	Determined
He	Thug	Troublemaker
They	Uppity	Arrogant
They	So Articulate 	This phrase could be condescending please consider using another phrase.
They	Ghetto (adj.)	This term could be offensive term please consider using another word.
They	Rachet (adj)	This term could be offensive term please consider using another word.
They	Peanut Gallery	Hecklers
They	The Itis 	Food Coma  
They	Gyp/Jipped	Ripped off, shortchanged, cheated
They	Guru 	Expert
They	Ninja	Expert, whiz
They	Tipping Point 	Limit
They	Spirit Animal	Kindred Spirit 
They	Off the Reservation	Went Rogue
They	Sold Down the River	Betrayed
They	Granfathered In	Exempted, Excused, Legacied in
They	Moron	Fool
They	Retarded	Silly
They	Savage	Badass
They	Illegal Immigrant	undocumented, without papers
They	Illegal Alien	undocumented, without papers
They	Tranny	Transgender
None	Whip 'em into shape	Shape up
None	Slaving away	Working really hard
She	Spicy	Rude
They	Crazy	Wild
They	Hysterical	Very funny
None	That's Gay 	DO NOT USE THIS WORD
None	Nigger 	DO NOT USE THIS WORD
None	Nigga 	DO NOT USE THIS WORD
She	Firecracker 	Driven and Independent 
None	Hey, Guys	Hey Team
None	Hey, Guys	Hey All
None	Hey, Guys	Hey Folks
None	Hey, Guys	Hey People
None	Hey, Guys	Hey Everyone
None	Hey, Guys	Hey
She	bossy	a boss
She	aggressive	assertive
She	abrasive	assertive
She	helpful	takes charge
She	takes care	takes charge
She	took care	took charge
She	mothers	leads
She	emotional	passionate
She	judgmental	great at giving feedback
She	pushy	persuasive
She	judgemental	great at giving feedback
She	selfish	dedicated
She	vain	neat
She	showoff	smooth
She	bitchy	a boss
She	a bitch	a boss
She	cold	focused
She	ice queen	hyper-professional
She	opportunistic	strategic
She	temperamental	passionate
She	dramatic	invested
She	calculated	strategic
She	a nag	persistent
She	angry	serious
She	rigid	decisive
She	feisty	determined
She	chatty	articulate
She	quiet	thoughtful
none	you guys	y'all
none	you guys	you all
